pl_orbper,pl_mass,pl_rad,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,st_age,ESI,ESI-ROUND
4.3225126,94.39551,11.994,0.048,5800,1.06,1.01,,12,0.19,0
3.36100208,154.14755,13.787,0.054,5375,0.86,0.84,4.49,9,0.25,0
3.36101,117.5971,11.545,0.05,5450,0.73,0.55,4.6,,0.21,0
3.36100239,153.51189,13.72,0.07,5450,0.87,0.88,,11,0.15,0
3.361006,160,13.72,0.054,5450,0.87,0.88,,,0.19,0
,2543,18.647,,4060,1.35,0.85,,0.005,0.2,0
1.5089682,390.9309,19.223,0.036,6298,1.23,1.22,,1.6,0.24,0
1.5089557,327.35,16.7,0,5950,1.11,0.95,4.25,,0.23,0
1.5089686,327.3649,17.385,,5950,1.13,0.95,4.31,7.8,0.11,0
1.50897655,340.0781,15.917,0.071,5950,,,4.25,,0.19,0

